PropertyName,PropertySubName,Link,TopFacilitiesStr
Smartworld One DXP, sector 113,https://www.99acres.com/smartworld-one-dxp-sector-113-gurgaon-npxid-r400415,"['Swimming Pool', 'Salon', 'Restaurant', 'Spa', 'Cafeteria', 'Sun Deck', '24x7 Security', 'Club House', 'Gated Community']"
M3M Crown, sector 111,https://www.99acres.com/m3m-crown-sector-111-gurgaon-npxid-r404068,"['Bowling Alley', 'Mini Theatre', 'Manicured Garden', 'Swimming Pool', 'Flower Garden', 'Reading Lounge', 'Golf Course', 'Barbecue', 'Sauna']"
Adani Brahma Samsara Vilasa,dependent floor ,https://www.99acres.com/adani-brahma-samsara-vilasa-sector-63-gurgaon-npxid-r327995,"['Terrace Garden', 'Gazebo', 'Fountain', 'Amphitheatre', 'Party Lawn', 'Basketball Court', 'Badminton Court', 'Yoga/Meditation Area', 'Indoor Games']"
Sobha City, sector 108,https://www.99acres.com/sobha-city-sector-108-gurgaon-npxid-r256111,"['Swimming Pool', 'Volley Ball Court', 'Aerobics Centre', 'Card Room', 'Barbecue', 'Sauna', 'Steam Room', 'Creche/Day care', 'Skating Rink']"
Signature Global City 93,dependent floor ,https://www.99acres.com/signature-global-city-93-sector-93-gurgaon-npxid-r404456,"['Mini Theatre', 'Doctor on Call', 'Concierge Service', 'Swimming Pool', 'Bar/Chill-Out Lounge', 'Laundry', 'Flower Garden', 'Reflexology Park', 'Salon']"
Whiteland The Aspen, sector 76,https://www.99acres.com/whiteland-the-aspen-sector-76-gurgaon-npxid-r403309,"['Reflexology Park', 'Card Room', 'High Speed Elevators', 'Sauna', 'Jacuzzi', 'Spa', 'Entrance Lobby', 'Yoga/Meditation Area', 'Club House']"
Bestech Altura, sector 79,https://www.99acres.com/bestech-altura-sector-79-gurgaon-npxid-r262010,"['Swimming Pool', 'Football', 'Flower Garden', 'Reading Lounge', 'School', 'Pergola', 'Skating Rink', 'Grocery Shop', 'Squash Court']"
Elan The Presidential, sector 106,https://www.99acres.com/elan-the-presidential-sector-106-gurgaon-npxid-r400451,"['Swimming Pool', 'Aerobics Centre', 'Shopping Centre', 'Video Door Security', 'Amphitheatre', 'Yoga/Meditation Area', 'CCTV Camera Security', 'Jogging Track', '24x7 Security']"
Signature Global City 92,dependent floor ,https://www.99acres.com/signature-global-city-92-sector-92-gurgaon-npxid-r379657,"['Swimming Pool', 'Reflexology Park', 'Terrace Garden', 'Waiting Lounge', 'Jacuzzi', 'Skating Rink', 'Cricket Pitch', 'Sun Deck', 'Amphitheatre']"
Emaar Digihomes, sector 62,https://www.99acres.com/emaar-digihomes-sector-62-gurgaon-npxid-r333369,"['Mini Theatre', 'Swimming Pool', 'Salon', 'Card Room', 'Restaurant', 'Spa', 'Creche/Day care', 'Banquet Hall', 'Lawn Tennis Court']"
Signature Global City 79B,dependent floor ,https://www.99acres.com/signature-global-city-79b-sector-79-gurgaon-npxid-r404401,"['Swimming Pool', 'Reflexology Park', 'Gazebo', 'Banquet Hall', 'Cricket Pitch', 'Sun Deck', 'Multipurpose Court', 'Amphitheatre', 'Toddler Pool']"
DLF The Arbour, sector 63 gurgaon,https://www.99acres.com/dlf-the-arbour-sector-63-gurgaon-npxid-r404070,"['Swimming Pool', 'Community Hall', 'Yoga/Meditation Area', '24x7 Security', 'Club House', 'Gated Community', 'Gymnasium', 'Landscape Garden', ""Children's Play Area""]"
M3M Antalya Hills, sector 79 gurgaon,https://www.99acres.com/m3m-antalya-hills-sector-79-gurgaon-npxid-r402610,"['Mini Theatre', 'Swimming Pool', 'Lounge', 'Reflexology Park', 'Restaurant', 'Terrace Garden', 'Sauna', 'Spa', 'Gazebo']"
Signature Global City 81,dependent floor ,https://www.99acres.com/signature-global-city-81-sector-81-gurgaon-npxid-r380265,"['Swimming Pool', 'Flower Garden', 'Jacuzzi', 'Wi-Fi Connectivity', 'Amphitheatre', 'Power Back up Lift', 'Vastu Compliant', 'Basketball Court', 'Badminton Court']"
SS Linden Floors,dependent floor ,https://www.99acres.com/ss-linden-floors-sector-84-gurgaon-npxid-r383068,"['Swimming Pool', 'School', 'Entrance Lobby', 'CCTV Camera Security', 'Club House', 'Gated Community', 'Landscape Garden', 'Lift(s)', 'Car Parking']"
Mahindra Luminare, sector 59,https://www.99acres.com/mahindra-luminare-sector-59-gurgaon-npxid-r62235,"['Swimming Pool', 'Card Room', 'Restaurant', 'Spa', 'Squash Court', 'Gazebo', 'Banquet Hall', 'Lawn Tennis Court', 'Amphitheatre']"
M3M Golf Hills, sector 79,https://www.99acres.com/m3m-golf-hills-sector-79-gurgaon-npxid-r405181,"['Salon', 'Spa', 'Cricket Pitch', 'Lawn Tennis Court', 'Amphitheatre', 'Basketball Court', 'Badminton Court', 'Entrance Lobby', 'Yoga/Meditation Area']"
Suncity Vatsal Valley,dependent floor ,https://www.99acres.com/suncity-vatsal-valley-gwal-pahari-gurgaon-npxid-r383788,"['Earthquake Resistant', 'Vastu Compliant', 'Entrance Lobby', '24/7 Power Backup', '24/7 Water Supply', 'Landscape Garden', ""Children's Play Area"", 'Lift(s)', 'Car Parking']"
Whiteland Blissville, sector 76,https://www.99acres.com/whiteland-blissville-sector-76-gurgaon-npxid-r396984,"['Lounge', 'Barbecue', 'Creche/Day care', 'Yoga/Meditation Area', 'Club House', 'Gymnasium', 'Landscape Garden', ""Children's Play Area"", 'Lift(s)']"
Trump Tower, sector 65,https://www.99acres.com/trump-tower-sector-65-gurgaon-npxid-r296597,"['Valet Parking', 'Foosball', 'Concierge Service', 'Infinity Pool', 'Swimming Pool', 'Bar/Chill-Out Lounge', 'Business Lounge', 'Laundry', 'Cigar Lounge']"
Tulip Monsella, sector 53,https://www.99acres.com/tulip-monsella-sector-53-gurgaon-npxid-r390137,"['Mini Theatre', 'Swimming Pool', 'Bar/Chill-Out Lounge', 'Business Lounge', 'Cigar Lounge', 'Golf Course', 'School', 'Card Room', 'Restaurant']"
Krisumi Waterfall Residences, sector 36a,https://www.99acres.com/krisumi-waterfall-residences-sector-36a-gurgaon-npxid-r331957,"['Concierge Service', 'Swimming Pool', 'Bar/Chill-Out Lounge', 'Salon', 'Restaurant', 'Terrace Garden', 'Pergola', 'Jacuzzi', 'Piped Gas']"
M3M Capital, sector 113,https://www.99acres.com/m3m-capital-sector-113-gurgaon-npxid-r385121,"['Swimming Pool', 'Lounge', 'Bar/Chill-Out Lounge', 'ATM', 'Aerobics Centre', 'Restaurant', 'Sauna', 'Spa', 'Skating Rink']"
Godrej Meridien, sector 106,https://www.99acres.com/godrej-meridien-sector-106-gurgaon-npxid-r306651,"['Valet Parking', 'Mini Theatre', 'Concierge Service', 'Swimming Pool', 'Bar/Chill-Out Lounge', 'Medical Centre', 'Flower Garden', 'Reflexology Park', 'School']"
La Vida by Tata Housing, sector 113,https://www.99acres.com/la-vida-by-tata-housing-sector-113-gurgaon-npxid-r265503,"['Mini Theatre', 'Natural Pond', 'Swimming Pool', 'Card Room', 'Sauna', 'Spa', 'Squash Court', 'Cricket Pitch', 'Sun Deck']"
Birla Navya,dependent floor ,https://www.99acres.com/birla-navya-sector-63a-gurgaon-npxid-r351013,"['Mini Theatre', 'Swimming Pool', 'Football', 'Lounge', 'Business Lounge', 'Flower Garden', 'Reflexology Park', 'Conference room', 'Salon']"
Signature Global City,dependent floor ,https://www.99acres.com/signature-global-city-sector-37d-gurgaon-npxid-r378934,"['Swimming Pool', 'Reflexology Park', 'Jacuzzi', 'Skating Rink', 'Cricket Pitch', 'Multipurpose Court', 'Amphitheatre', 'Toddler Pool', 'Basketball Court']"
Godrej 101, sector 79,https://www.99acres.com/godrej-101-sector-79-gurgaon-npxid-r213249,"['Air Hockey', 'Acupressure Park', 'Foosball', 'Swimming Pool', 'Football', 'Reading Lounge', 'Golf Course', 'Volley Ball Court', 'ATM']"
M3M Soulitude,dependent floor ,https://www.99acres.com/m3m-soulitude-sector-89-gurgaon-npxid-r378131,"['Swimming Pool', 'Lounge', 'Bar/Chill-Out Lounge', 'Solar Lighting', 'Aerobics Centre', 'Restaurant', 'Terrace Garden', 'Piped Gas', 'Theatre']"
BPTP Terra, sector 37d,https://www.99acres.com/bptp-terra-sector-37d-gurgaon-npxid-r5360,"['Swimming Pool', 'Bar/Chill-Out Lounge', 'Waiting Lounge', 'Fountain', 'Sun Deck', 'Toddler Pool', 'Community Hall', 'Yoga/Meditation Area', 'Rain Water Harvesting']"
M3M Skycity, sector 65,https://www.99acres.com/m3m-skycity-sector-65-gurgaon-npxid-r326899,"['Bus Shelter', 'Swimming Pool', 'Lounge', 'Bar/Chill-Out Lounge', 'Reflexology Park', 'School', 'Aerobics Centre', 'Terrace Garden', 'High Speed Elevators']"
MRG The Crown,dependent floor ,https://www.99acres.com/mrg-the-crown-sector-106-gurgaon-npxid-r405486,"['Swimming Pool', 'Visitors Parking', 'Skating Rink', 'Cricket Pitch', 'Basketball Court', 'Sewage Treatment Plant', 'Jogging Track', 'Club House', 'Gated Community']"
Godrej Nature Plus Serenity, sector-33 sohna,https://www.99acres.com/godrej-nature-plus-serenity-sector-33-sohna-gurgaon-npxid-r379974,"['Reflexology Park', 'RO System', 'Restaurant', 'Theatre', 'Amphitheatre', 'Badminton Court', 'Entrance Lobby', 'Multipurpose Hall', 'Yoga/Meditation Area']"
SS The Leaf, sector 85,https://www.99acres.com/ss-the-leaf-sector-85-gurgaon-npxid-r5098,"['Valet Parking', 'Swimming Pool', 'Football', 'Business Lounge', 'Medical Centre', 'Flower Garden', 'School', 'Squash Court', 'Wi-Fi Connectivity']"
Eldeco Acclaim, sohna,https://www.99acres.com/eldeco-acclaim-sohna-gurgaon-npxid-r369999,"['Swimming Pool', 'Restaurant', 'Piped Gas', 'Squash Court', 'Gazebo', 'Property Staff', 'Billiards', 'Sun Deck', 'Lawn Tennis Court']"
Emaar Gurgaon Greens, sector 102,https://www.99acres.com/emaar-gurgaon-greens-sector-102-gurgaon-npxid-r2066,"['Swimming Pool', 'Flower Garden', 'Golf Course', 'Solar Lighting', 'Pergola', 'Property Staff', 'Cafeteria', 'Fountain', 'Lawn Tennis Court']"
Oxirich Chintamanis, sector 103,https://www.99acres.com/oxirich-chintamanis-sector-103-gurgaon-npxid-r405511,"['Swimming Pool', 'Entrance Lobby', 'Yoga/Meditation Area', '24/7 Power Backup', 'Gated Community', 'Gymnasium', ""Children's Play Area"", 'Car Parking']"
DLF Garden City Floors,dependent floor ,https://www.99acres.com/dlf-garden-city-floors-sector-92-gurgaon-npxid-r376177,"['Swimming Pool', 'Bar/Chill-Out Lounge', 'School', 'Spa', 'Grocery Shop', 'Squash Court', 'Shopping Centre', 'Power Back up Lift', 'CCTV Camera Security']"
Anant Raj Estates,dependent floor ,https://www.99acres.com/anant-raj-estates-sector-63a-gurgaon-npxid-r2862,"['Swimming Pool', 'Golf Course', 'Salon', 'Restaurant', 'Spa', 'Water Softener Plant', 'Grocery Shop', 'Shopping Centre', 'Cricket Pitch']"
Tulip Yellow, sector 69,https://www.99acres.com/tulip-yellow-sector-69-gurgaon-npxid-r344503,"['Swimming Pool', 'High Speed Elevators', 'Waiting Lounge', 'Skating Rink', 'Grocery Shop', 'Wi-Fi Connectivity', 'Cafeteria', 'Fountain', 'Cricket Pitch']"
BPTP Amstoria,dependent floor ,https://www.99acres.com/bptp-amstoria-sector-102-gurgaon-npxid-r26134,"['Swimming Pool', 'Business Lounge', 'Golf Course', 'Barbecue', 'Restaurant', 'Pergola', 'Spa', 'Squash Court', 'Theatre']"
Emaar Emerald Hills,dependent floor ,https://www.99acres.com/emaar-emerald-hills-sector-65-gurgaon-npxid-r32692,"['Milk Booth', 'Swimming Pool', 'Bar/Chill-Out Lounge', 'Cigar Lounge', 'Changing Area', 'School', 'Aerobics Centre', 'Card Room', 'Restaurant']"
M3M Golfestate, sector 65,https://www.99acres.com/m3m-golfestate-sector-65-gurgaon-npxid-r1030,"['Mini Theatre', 'Doctor on Call', 'Beach Volley Ball Court', 'Air Hockey', 'Automated Car Wash', 'Clinic', 'Foosball', 'Concierge Service', 'Car wash area']"
ATS Triumph, sector 104,https://www.99acres.com/ats-triumph-sector-104-gurgaon-npxid-r25860,"['Concierge Service', 'Swimming Pool', 'Changing Area', 'ATM', 'Sauna', 'Water Softener Plant', 'Skating Rink', 'Wi-Fi Connectivity', 'Property Staff']"
ATS Marigold, sector 89 a,https://www.99acres.com/ats-marigold-sector-89-a-gurgaon-npxid-r10548,"['Swimming Pool', 'Reflexology Park', 'Squash Court', 'Shopping Centre', 'Lawn Tennis Court', 'Power Back up Lift', 'Community Hall', 'Basketball Court', 'Entrance Lobby']"
Signature Global City 37D Ph 2,dependent floor ,https://www.99acres.com/signature-global-city-37d-ph-2-sector-37d-gurgaon-npxid-r396484,"['Swimming Pool', 'Shopping Centre', 'Sun Deck', 'Yoga/Meditation Area', 'Sewage Treatment Plant', 'Jogging Track', 'Rain Water Harvesting', 'Club House', '24/7 Power Backup']"
DLF Alameda,dependent floor ,https://www.99acres.com/dlf-alameda-sector-73-gurgaon-npxid-r1229,"['Clinic', 'Swimming Pool', 'Medical Centre', 'School', 'Card Room', 'Restaurant', 'Squash Court', 'Theatre', 'Gazebo']"
Experion Windchants, sector 112,https://www.99acres.com/experion-windchants-sector-112-gurgaon-npxid-r4342,"['Mini Theatre', 'Air Hockey', 'Foosball', 'Natural Pond', 'Swimming Pool', 'Reading Lounge', 'Conference room', 'Solar Lighting', 'Card Room']"
Saan Verdante, sector 95,https://www.99acres.com/saan-verdante-sector-95-gurgaon-npxid-r146207,"['Automated Car Wash', 'Swimming Pool', 'Laundry', 'Reading Lounge', 'Card Room', 'Restaurant', 'Piped Gas', 'Property Staff', 'Cafeteria']"
4S Aradhya Homes,dependent floor ,https://www.99acres.com/4s-aradhya-homes-sector-67a-gurgaon-npxid-r374154,"['Swimming Pool', 'Bar/Chill-Out Lounge', 'Terrace Garden', 'Piped Gas', 'Cafeteria', 'Table Tennis', 'Badminton Court', 'Jogging Track', 'Club House']"
Yash Vihar, pataudi,https://www.99acres.com/yash-vihar-pataudi-gurgaon-npxid-r371696,"['Solar Lighting', 'Pergola', 'Skating Rink', 'Fountain', 'Shopping Centre', 'Cricket Pitch', 'Amphitheatre', 'Sewage Treatment Plant', 'CCTV Camera Security']"
Smart World Orchard, sector 61,https://www.99acres.com/smart-world-orchard-sector-61-gurgaon-npxid-r376088,"['Mini Theatre', 'Swimming Pool', 'Lounge', 'Bar/Chill-Out Lounge', 'Medical Centre', 'Conference room', 'Salon', 'Aerobics Centre', 'Visitors Parking']"
DLF The Camellias, sector 42,https://www.99acres.com/dlf-the-camellias-sector-42-gurgaon-npxid-r129601,"['Concierge Service', 'Swimming Pool', 'Golf Course', 'Visitors Parking', 'Restaurant', 'Waiting Lounge', 'Sauna', 'Spa', 'Water Softener Plant']"
Birla Navya Avik, sector 63a,https://www.99acres.com/birla-navya-avik-sector-63a-gurgaon-npxid-r409743,"['Football', 'Skating Rink', 'Cricket Pitch', 'Amphitheatre', 'Basketball Court', 'Badminton Court', 'Yoga/Meditation Area', 'Gymnasium', 'Landscape Garden']"
Adani Samsara Avasa, sector 63,https://www.99acres.com/adani-samsara-avasa-sector-63-gurgaon-npxid-r403842,"['Natural Pond', 'Swimming Pool', 'Terrace Garden', 'Pergola', 'Sauna', 'Spa', 'Fountain', 'Sun Deck', 'Video Door Security']"
DLF The Crest, sector 54,https://www.99acres.com/dlf-the-crest-sector-54-gurgaon-npxid-r8664,"['Swimming Pool', 'Bar/Chill-Out Lounge', 'Flower Garden', 'Reading Lounge', 'Salon', 'Card Room', 'Solar Water Heating', 'Restaurant', 'Spa']"
DLF The Magnolias, sector 42,https://www.99acres.com/dlf-the-magnolias-sector-42-gurgaon-npxid-r660,"['Mini Theatre', 'Swimming Pool', 'Football', 'Bar/Chill-Out Lounge', 'Business Lounge', 'Salon', 'Restaurant', 'Spa', 'Water Softener Plant']"
DLF The Aralias, sector 42,https://www.99acres.com/dlf-the-aralias-sector-42-gurgaon-npxid-r12158,"['Concierge Service', 'Swimming Pool', 'Restaurant', 'Spa', 'Skating Rink', 'Squash Court', 'Theatre', 'Pool Table', 'Property Staff']"
Ansal API Esencia,dependent floor ,https://www.99acres.com/ansal-api-esencia-sector-67-gurgaon-npxid-r3568,"['Swimming Pool', 'Laundry', 'School', 'Solar Lighting', 'Terrace Garden', 'Creche/Day care', 'Grocery Shop', 'Shopping Centre', 'Video Door Security']"
Pioneer Araya, sector 62,https://www.99acres.com/pioneer-araya-sector-62-gurgaon-npxid-r1325,"['Foosball', 'Concierge Service', 'Infinity Pool', 'Swimming Pool', 'Bar/Chill-Out Lounge', 'Business Lounge', 'Reading Lounge', 'Salon', 'Card Room']"
M3M Merlin, sector 67,https://www.99acres.com/m3m-merlin-sector-67-gurgaon-npxid-r1191,"['Beach Volley Ball Court', 'Automated Car Wash', 'Swimming Pool', 'Laundry', 'Flower Garden', 'Reflexology Park', 'Golf Course', 'Volley Ball Court', 'Salon']"
Smart World Gems,dependent floor ,https://www.99acres.com/smart-world-gems-sector-89-gurgaon-npxid-r378133,"['Swimming Pool', 'Lounge', 'Aerobics Centre', 'Terrace Garden', 'Piped Gas', 'Squash Court', 'Gazebo', 'Wi-Fi Connectivity', 'Sun Deck']"
Vatika Aspiration, sector 88b gurgaon,https://www.99acres.com/vatika-aspiration-sector-88b-gurgaon-npxid-r401506,"['Grocery Shop', 'Community Hall', 'Sewage Treatment Plant', 'Rain Water Harvesting', 'Gated Community', 'Gymnasium', 'Landscape Garden', ""Children's Play Area"", 'Internal Street Lights']"
Ace Palm Floors,dependent floor ,https://www.99acres.com/ace-palm-floors-sector-89-gurgaon-npxid-r375877,"['Swimming Pool', 'Fountain', 'Sun Deck', 'Amphitheatre', 'Yoga/Meditation Area', 'Club House', 'Gated Community', 'Landscape Garden', ""Children's Play Area""]"
DLF Gardencity Enclave,dependent floor ,https://www.99acres.com/dlf-gardencity-enclave-sector-93-gurgaon-npxid-r392732,"['Shopping Centre', 'Community Hall', 'Sewage Treatment Plant', '24x7 Security', 'Club House', ""Children's Play Area"", 'Internal Street Lights', 'Fire Fighting Systems']"
Emaar Palm Heights, sector 77,https://www.99acres.com/emaar-palm-heights-sector-77-gurgaon-npxid-r319909,"['Swimming Pool', 'Waiting Lounge', 'Creche/Day care', 'Sun Deck', 'Lawn Tennis Court', 'Toddler Pool', 'Basketball Court', 'Badminton Court', 'Entrance Lobby']"
Signature Global Park,dependent floor ,https://www.99acres.com/signature-global-park-sohna-gurgaon-npxid-r330597,"['Swimming Pool', 'Gazebo', 'Amphitheatre', 'Basketball Court', 'Badminton Court', 'Multipurpose Hall', 'Yoga/Meditation Area', 'Jogging Track', 'Gymnasium']"
Emaar MGF Marbella, sector 66,https://www.99acres.com/emaar-mgf-marbella-sector-66-gurgaon-npxid-r1134,"['Bowling Alley', 'Mini Theatre', 'Concierge Service', 'Swimming Pool', 'Lounge', 'Bar/Chill-Out Lounge', 'Cigar Lounge', 'Changing Area', 'Salon']"
Rishali Luxe Residency 112, sector 112,https://www.99acres.com/rishali-luxe-residency-112-sector-112-gurgaon-npxid-r409012,"['Community Hall', 'Sewage Treatment Plant', 'Rain Water Harvesting', 'Club House', '24/7 Power Backup', 'Gated Community', '24/7 Water Supply', ""Children's Play Area"", 'Garbage Disposal']"
Puri The Aravallis, sector 61,https://www.99acres.com/puri-the-aravallis-sector-61-gurgaon-npxid-r396420,"['Foosball', 'Infinity Pool', 'Swimming Pool', 'Football', 'Jacuzzi', 'Cricket Pitch', 'Sun Deck', 'Lawn Tennis Court', 'Amphitheatre']"
International City by SOBHA Phase 2, sector 109,https://www.99acres.com/international-city-by-sobha-phase-2-sector-109-gurgaon-npxid-r259717,"['Swimming Pool', 'Theater Home', 'School', 'Solar Lighting', 'Restaurant', 'Terrace Garden', 'Jacuzzi', 'Piped Gas', 'Squash Court']"
Emaar MGF The Palm Drive, sector 66,https://www.99acres.com/emaar-mgf-the-palm-drive-sector-66-gurgaon-npxid-r19,"['Swimming Pool', 'Theater Home', 'Bar/Chill-Out Lounge', 'Cigar Lounge', 'Reading Lounge', 'Reflexology Park', 'Golf Course', 'Changing Area', 'School']"
BPTP Green Oaks, sector 70a,https://www.99acres.com/bptp-green-oaks-sector-70a-gurgaon-npxid-r382679,"['Community Hall', 'Club House', 'Landscape Garden']"
Puri Emerald Bay, sector 104,https://www.99acres.com/puri-emerald-bay-sector-104-gurgaon-npxid-r5456,"['Swimming Pool', 'Theatre', 'Wi-Fi Connectivity', 'Cafeteria', 'Billiards', 'Lawn Tennis Court', 'Video Door Security', 'Multipurpose Court', 'Amphitheatre']"
Ireo Victory Valley, sector 67,https://www.99acres.com/ireo-victory-valley-sector-67-gurgaon-npxid-r871,"['Swimming Pool', 'Football', 'Bar/Chill-Out Lounge', 'Flower Garden', 'Reading Lounge', 'Golf Course', 'Conference room', 'School', 'Salon']"
DLF Gardencity,dependent floor ,https://www.99acres.com/dlf-gardencity-sector-91-gurgaon-npxid-r1193,"['Swimming Pool', 'Bar/Chill-Out Lounge', 'School', 'Restaurant', 'Spa', 'Squash Court', 'Theatre', 'Cafeteria', 'Fountain']"
Tata Primanti,dependent floor ,https://www.99acres.com/tata-primanti-sector-72-gurgaon-npxid-r1148,"['Swimming Pool', 'Changing Area', 'School', 'Card Room', 'Restaurant', 'Sauna', 'Jacuzzi', 'Piped Gas', 'Steam Room']"
DLF Park Place, sector 54,https://www.99acres.com/dlf-park-place-sector-54-gurgaon-npxid-r8,"['Mini Theatre', 'Swimming Pool', 'Theater Home', 'Business Lounge', 'Laundry', 'Changing Area', 'School', 'Salon', 'RO System']"
Central Park Flower Valley,dependent floor ,https://www.99acres.com/central-park-flower-valley-sector-33-sohna-gurgaon-npxid-r22052,"['Swimming Pool', 'Reading Lounge', 'Reflexology Park', 'Golf Course', 'Aerobics Centre', 'Sauna', 'Jacuzzi', 'Steam Room', 'Creche/Day care']"
Ireo Skyon, sector 60,https://www.99acres.com/ireo-skyon-sector-60-gurgaon-npxid-r1147,"['Swimming Pool', 'Golf Course', 'Changing Area', 'School', 'Restaurant', 'High Speed Elevators', 'Piped Gas', 'Steam Room', 'Squash Court']"
AIPL The Peaceful Homes, sector 70a,https://www.99acres.com/aipl-the-peaceful-homes-sector-70a-gurgaon-npxid-r3480,"['Automated Car Wash', 'Concierge Service', 'Swimming Pool', 'Football', 'Bar/Chill-Out Lounge', 'Reading Lounge', 'Golf Course', 'Volley Ball Court', 'Salon']"
